round,w1,w2,w3,w4
0,0.45,0.2,0.15,0.2
1,0.45,0.2,0.15,0.2
2,0.45,0.15,0.2,0.2
3,0.45,0.15,0.2,0.2
4,0.45,0.15,0.2,0.2
5,0.45,0.15,0.2,0.2
6,0.45,0.15,0.2,0.2
7,0.4285714285,0.1428571429,0.2380952381,0.1904761905
8,0.45,0.15,0.2,0.2
9,0.3809523809,0.2380952381,0.1904761905,0.1904761905
10,0.4,0.2,0.2,0.2
11,0.45,0.15,0.2,0.2
12,0.45,0.15,0.2,0.2
13,0.45,0.15,0.2,0.2
14,0.4285714285,0.1904761905,0.1904761905,0.1904761905
15,0.45,0.15,0.2,0.2
16,0.45,0.15,0.2,0.2
17,0.45,0.15,0.2,0.2
18,0.4285714285,0.1904761905,0.1904761905,0.1904761905
19,0.3809523809,0.1904761905,0.1904761905,0.2380952381
20,0.4,0.15,0.2,0.25
21,0.4,0.15,0.2,0.25
22,0.45,0.15,0.2,0.2
23,0.45,0.15,0.2,0.2
24,0.45,0.15,0.2,0.2
25,0.45,0.15,0.2,0.2
26,0.4285714285,0.1904761905,0.1904761905,0.1904761905
27,0.45,0.15,0.2,0.2
28,0.45,0.15,0.2,0.2
29,0.4285714285,0.1428571429,0.2380952381,0.1904761905
30,0.45,0.15,0.2,0.2
31,0.45,0.15,0.2,0.2
32,0.45,0.15,0.2,0.2
33,0.45,0.15,0.2,0.2
34,0.45,0.15,0.2,0.2
35,0.45,0.15,0.2,0.2
36,0.45,0.15,0.2,0.2
37,0.45,0.15,0.2,0.2
38,0.4285714285,0.1428571429,0.2380952381,0.1904761905
39,0.45,0.15,0.2,0.2
40,0.45,0.2,0.15,0.2
41,0.4736842106,0.1578947368,0.1578947368,0.2105263158
42,0.4285714285,0.1428571429,0.2380952381,0.1904761905
43,0.45,0.15,0.2,0.2
44,0.4285714285,0.1904761905,0.1904761905,0.1904761905
45,0.45,0.15,0.2,0.2
46,0.4285714285,0.1904761905,0.1904761905,0.1904761905
47,0.45,0.15,0.2,0.2
48,0.45,0.15,0.2,0.2
49,0.45,0.15,0.2,0.2
50,0.45,0.15,0.2,0.2
51,0.45,0.15,0.2,0.2
52,0.45,0.15,0.2,0.2
53,0.45,0.15,0.2,0.2
54,0.45,0.15,0.2,0.2
55,0.4285714285,0.1904761905,0.1904761905,0.1904761905
56,0.45,0.15,0.2,0.2
57,0.45,0.15,0.2,0.2
58,0.45,0.15,0.2,0.2
59,0.45,0.15,0.2,0.2
60,0.5,0.15,0.15,0.2
61,0.45,0.15,0.2,0.2
62,0.45,0.15,0.2,0.2
63,0.4285714285,0.1428571429,0.2380952381,0.1904761905
64,0.45,0.15,0.2,0.2
65,0.45,0.15,0.2,0.2
66,0.45,0.15,0.2,0.2
67,0.45,0.15,0.2,0.2
68,0.45,0.15,0.2,0.2
69,0.45,0.15,0.2,0.2
70,0.45,0.15,0.2,0.2
71,0.45,0.2,0.15,0.2
72,0.45,0.2,0.15,0.2
73,0.45,0.15,0.2,0.2
74,0.4,0.25,0.15,0.2
75,0.45,0.2,0.15,0.2
76,0.45,0.2,0.15,0.2
77,0.4285714285,0.1904761905,0.1904761905,0.1904761905
78,0.45,0.2,0.15,0.2
79,0.45,0.2,0.15,0.2
80,0.45,0.15,0.2,0.2
81,0.45,0.15,0.2,0.2
82,0.45,0.15,0.2,0.2
83,0.45,0.15,0.2,0.2
84,0.45,0.15,0.2,0.2
85,0.45,0.15,0.2,0.2
86,0.4285714285,0.1428571429,0.2380952381,0.1904761905
87,0.45,0.15,0.2,0.2
88,0.45,0.15,0.2,0.2
89,0.45,0.15,0.2,0.2
90,0.45,0.2,0.2,0.15
91,0.4285714285,0.1904761905,0.1904761905,0.1904761905
92,0.45,0.15,0.2,0.2
93,0.45,0.15,0.2,0.2
94,0.45,0.15,0.2,0.2
95,0.45,0.15,0.2,0.2
96,0.45,0.15,0.2,0.2
97,0.45,0.15,0.2,0.2
98,0.45,0.15,0.2,0.2
99,0.45,0.15,0.2,0.2
100,0.4285714286,0.0476190476,0.2380952381,0.2857142857
101,0.4285714286,0.0476190476,0.1904761905,0.3333333333
102,0.380952381,0.0952380952,0.2380952381,0.2857142857
103,0.45,0.05,0.25,0.25
104,0.4,0.1,0.25,0.25
105,0.35,0.15,0.25,0.25
106,0.35,0.05,0.3,0.3
107,0.4,0.1,0.15,0.35
108,0.3684210527,0.1578947368,0.2105263158,0.2631578947
109,0.4,0.05,0.3,0.25
110,0.4,0.1,0.25,0.25
111,0.4285714286,0.0952380952,0.2380952381,0.2380952381
112,0.3809523809,0.1428571429,0.1904761905,0.2857142857
113,0.35,0.15,0.15,0.35
114,0.4,0.1,0.2,0.3
115,0.35,0.15,0.2,0.3
116,0.35,0.05,0.25,0.35
117,0.3,0.15,0.2,0.35
118,0.4,0.05,0.25,0.3
119,0.380952381,0.0476190476,0.2380952381,0.3333333333
120,0.35,0.1,0.25,0.3
121,0.3333333334,0.0952380952,0.2380952381,0.3333333333
122,0.380952381,0.0952380952,0.2380952381,0.2857142857
123,0.45,0.05,0.25,0.25
124,0.4285714286,0.0476190476,0.2380952381,0.2857142857
125,0.3684210527,0.1052631579,0.2631578947,0.2631578947
126,0.4,0.1,0.2,0.3
127,0.3333333333,0.1428571429,0.1904761905,0.3333333333
128,0.35,0.15,0.2,0.3
129,0.35,0.05,0.25,0.35
130,0.4,0.05,0.25,0.3
131,0.380952381,0.0476190476,0.2380952381,0.3333333333
132,0.3333333334,0.0952380952,0.2380952381,0.3333333333
133,0.35,0.1,0.25,0.3
134,0.4,0.1,0.25,0.25
135,0.4285714286,0.0476190476,0.2380952381,0.2857142857
136,0.35,0.1,0.25,0.3
137,0.3333333333,0.1428571429,0.1904761905,0.3333333333
138,0.380952381,0.0952380952,0.2380952381,0.2857142857
139,0.35,0.05,0.3,0.3
140,0.4210526317,0.0526315789,0.2631578947,0.2631578947
141,0.4,0.1,0.2,0.3
142,0.4285714286,0.0476190476,0.1904761905,0.3333333333
143,0.3684210527,0.1052631579,0.2631578947,0.2631578947
144,0.4285714286,0.0952380952,0.1904761905,0.2857142857
145,0.35,0.1,0.3,0.25
146,0.3809523809,0.1428571429,0.1904761905,0.2857142857
147,0.4,0.05,0.3,0.25
148,0.4285714286,0.0952380952,0.2380952381,0.2380952381
149,0.3809523809,0.1428571429,0.2380952381,0.2380952381
150,0.35,0.15,0.25,0.25
151,0.4210526316,0.1052631579,0.1578947368,0.3157894737
152,0.3809523809,0.1428571429,0.1428571429,0.3333333333
153,0.35,0.15,0.2,0.3
154,0.35,0.05,0.25,0.35
155,0.3333333334,0.0952380952,0.2380952381,0.3333333333
156,0.380952381,0.0476190476,0.2380952381,0.3333333333
157,0.4,0.05,0.25,0.3
158,0.35,0.1,0.25,0.3
159,0.3333333333,0.1428571429,0.2380952381,0.2857142857
160,0.35,0.15,0.25,0.25
161,0.380952381,0.0952380952,0.2380952381,0.2857142857
162,0.45,0.05,0.25,0.25
163,0.4,0.1,0.25,0.25
164,0.4285714286,0.0476190476,0.2380952381,0.2857142857
165,0.35,0.15,0.2,0.3
166,0.35,0.05,0.25,0.35
167,0.380952381,0.0476190476,0.2380952381,0.3333333333
168,0.4,0.05,0.25,0.3
169,0.3333333334,0.0952380952,0.2380952381,0.3333333333
170,0.35,0.1,0.25,0.3
171,0.35,0.15,0.25,0.25
172,0.380952381,0.0952380952,0.2380952381,0.2857142857
173,0.380952381,0.0952380952,0.1904761905,0.3333333333
174,0.45,0.05,0.25,0.25
175,0.3684210526,0.1052631579,0.3157894737,0.2105263158
176,0.4,0.1,0.25,0.25
177,0.4285714286,0.0476190476,0.2380952381,0.2857142857
178,0.35,0.1,0.2,0.35
179,0.4,0.05,0.2,0.35
180,0.35,0.1,0.25,0.3
181,0.35,0.05,0.3,0.3
182,0.4,0.1,0.2,0.3
183,0.3809523809,0.1428571429,0.1428571429,0.3333333333
184,0.45,0.1,0.2,0.25
185,0.45,0.1,0.15,0.3
186,0.4,0.15,0.2,0.25
187,0.4285714286,0.0952380952,0.1904761905,0.2857142857
188,0.35,0.1,0.3,0.25
189,0.4,0.05,0.3,0.25
190,0.3684210527,0.1578947368,0.1578947368,0.3157894737
191,0.3684210527,0.1578947368,0.2105263158,0.2631578947
192,0.4285714285,0.1428571429,0.1428571429,0.2857142857
193,0.2,0.35,0.2,0.25
194,0.3333333333,0.1904761905,0.1904761905,0.2857142857
195,0.35,0.05,0.25,0.35
196,0.3333333333,0.0952380952,0.0952380952,0.4761904763
197,0.4,0.05,0.2,0.35
198,0.35,0.05,0.35,0.25
199,0.4210526316,0.1052631579,0.1578947368,0.3157894737
200,0.4,0.15,0.15,0.3
201,0.35,0.2,0.1,0.35
202,0.35,0.2,0.15,0.3
203,0.4,0.15,0.2,0.25
204,0.35,0.05,0.25,0.35
205,0.35,0.1,0.25,0.3
206,0.35,0.2,0.2,0.25
207,0.2,0.2,0.2,0.4
208,0.35,0.15,0.2,0.3
209,0.4,0.15,0.1,0.35
210,0.35,0.05,0.25,0.35
211,0.3333333334,0.0952380952,0.2380952381,0.3333333333
212,0.4,0.05,0.25,0.3
213,0.35,0.1,0.25,0.3
214,0.380952381,0.0476190476,0.2380952381,0.3333333333
215,0.1428571429,0.0952380952,0.2380952381,0.5238095238
216,0.35,0.1,0.25,0.3
217,0.3333333333,0.1428571429,0.1904761905,0.3333333333
218,0.380952381,0.0952380952,0.1904761905,0.3333333333
219,0.45,0.05,0.25,0.25
220,0.4285714286,0.0476190476,0.2380952381,0.2857142857
221,0.4285714286,0.0476190476,0.0952380952,0.4285714286
222,0.2857142857,0.0952380952,0.1428571429,0.4761904762
223,0.4,0.05,0.2,0.35
224,0.4,0.1,0.25,0.25
225,0.35,0.15,0.25,0.25
226,0.35,0.05,0.3,0.3
227,0.35,0.1,0.25,0.3
228,0.4,0.1,0.15,0.35
229,0.4,0.05,0.3,0.25
230,0.35,0.15,0.25,0.25
