round,w1,w2,w3,w4
0,0.15,0.4,0.15,0.3
1,0.15,0.4,0.15,0.3
2,0.15,0.4,0.15,0.3
3,0.15,0.4,0.15,0.3
4,0.15,0.4,0.15,0.3
5,0.15,0.4,0.15,0.3
6,0.15,0.4,0.15,0.3
7,0.15,0.4,0.15,0.3
8,0.15,0.4,0.15,0.3
9,0.15,0.4,0.15,0.3
10,0.15,0.4,0.15,0.3
11,0.15,0.4,0.15,0.3
12,0.15,0.4,0.15,0.3
13,0.15,0.4,0.15,0.3
14,0.15,0.4,0.15,0.3
15,0.15,0.4,0.15,0.3
16,0.15,0.4,0.15,0.3
17,0.15,0.4,0.15,0.3
18,0.15,0.4,0.15,0.3
19,0.15,0.4,0.15,0.3
20,0.15,0.4,0.15,0.3
21,0.15,0.4,0.15,0.3
22,0.15,0.4,0.15,0.3
23,0.15,0.4,0.15,0.3
24,0.15,0.4,0.15,0.3
25,0.15,0.4,0.15,0.3
26,0.15,0.4,0.15,0.3
27,0.15,0.4,0.15,0.3
28,0.15,0.4,0.15,0.3
29,0.15,0.4,0.15,0.3
30,0.15,0.45,0.2,0.2
31,0.15,0.4,0.15,0.3
32,0.15,0.4,0.15,0.3
33,0.15,0.4,0.15,0.3
34,0.15,0.4,0.15,0.3
35,0.15,0.4,0.15,0.3
36,0.15,0.4,0.15,0.3
37,0.15,0.4,0.15,0.3
38,0.15,0.4,0.15,0.3
39,0.15,0.4,0.15,0.3
40,0.15,0.4,0.15,0.3
41,0.15,0.4,0.15,0.3
42,0.15,0.4,0.15,0.3
43,0.15,0.4,0.15,0.3
44,0.15,0.4,0.15,0.3
45,0.15,0.4,0.15,0.3
46,0.15,0.4,0.15,0.3
47,0.15,0.4,0.15,0.3
48,0.15,0.4,0.15,0.3
49,0.15,0.4,0.15,0.3
50,0.15,0.4,0.15,0.3
51,0.15,0.4,0.15,0.3
52,0.15,0.4,0.15,0.3
53,0.15,0.4,0.15,0.3
54,0.15,0.4,0.15,0.3
55,0.15,0.4,0.15,0.3
56,0.15,0.4,0.15,0.3
57,0.15,0.4,0.25,0.2
58,0.1,0.35,0.3,0.25
59,0.15,0.4,0.25,0.2
60,0.15,0.4,0.15,0.3
61,0.15,0.4,0.15,0.3
62,0.15,0.4,0.15,0.3
63,0.15,0.4,0.15,0.3
64,0.15,0.4,0.15,0.3
65,0.15,0.4,0.15,0.3
66,0.15,0.4,0.15,0.3
67,0.15,0.4,0.15,0.3
68,0.15,0.4,0.15,0.3
69,0.15,0.4,0.15,0.3
70,0.15,0.4,0.15,0.3
71,0.15,0.4,0.15,0.3
72,0.15,0.4,0.15,0.3
73,0.15,0.4,0.15,0.3
74,0.15,0.4,0.15,0.3
75,0.15,0.4,0.15,0.3
76,0.15,0.4,0.15,0.3
77,0.15,0.4,0.15,0.3
78,0.15,0.4,0.15,0.3
79,0.1428571429,0.4285714285,0.1428571429,0.2857142857
80,0.15,0.4,0.15,0.3
81,0.15,0.4,0.15,0.3
82,0.15,0.4,0.15,0.3
83,0.1,0.45,0.15,0.3
84,0.1,0.5,0.2,0.2
85,0.15,0.4,0.2,0.25
86,0.15,0.4,0.15,0.3
87,0.15,0.4,0.15,0.3
88,0.15,0.4,0.15,0.3
89,0.15,0.4,0.15,0.3
90,0.15,0.4,0.15,0.3
91,0.15,0.4,0.15,0.3
92,0.15,0.4,0.15,0.3
93,0.15,0.4,0.15,0.3
94,0.15,0.4,0.15,0.3
95,0.15,0.4,0.15,0.3
96,0.15,0.4,0.15,0.3
97,0.15,0.4,0.15,0.3
98,0.15,0.5,0.15,0.2
99,0.15,0.5,0.15,0.2
100,0.15,0.5,0.15,0.2
101,0.15,0.5,0.15,0.2
102,0.15,0.5,0.15,0.2
103,0.15,0.5,0.15,0.2
104,0.15,0.4,0.15,0.3
105,0.15,0.4,0.15,0.3
106,0.15,0.4,0.15,0.3
107,0.15,0.4,0.15,0.3
108,0.15,0.4,0.15,0.3
109,0.15,0.4,0.15,0.3
110,0.15,0.5,0.15,0.2
111,0.15,0.4,0.15,0.3
112,0.15,0.4,0.15,0.3
113,0.15,0.5,0.15,0.2
114,0.15,0.5,0.15,0.2
115,0.15,0.5,0.15,0.2
116,0.15,0.5,0.15,0.2
117,0.15,0.4,0.15,0.3
118,0.15,0.4,0.15,0.3
119,0.15,0.4,0.15,0.3
120,0.15,0.4,0.15,0.3
121,0.15,0.4,0.15,0.3
122,0.15,0.4,0.15,0.3
123,0.15,0.4,0.15,0.3
124,0.15,0.5,0.15,0.2
125,0.15,0.5,0.15,0.2
126,0.15,0.4,0.15,0.3
