round,w1,w2,w3,w4
0,0.3,0.2,0.2,0.3
1,0.35,0.15,0.2,0.3
2,0.35,0.15,0.2,0.3
3,0.35,0.15,0.2,0.3
4,0.35,0.15,0.2,0.3
5,0.35,0.15,0.2,0.3
6,0.35,0.15,0.2,0.3
7,0.35,0.15,0.2,0.3
8,0.35,0.15,0.2,0.3
9,0.35,0.15,0.2,0.3
10,0.35,0.15,0.2,0.3
11,0.35,0.15,0.2,0.3
12,0.35,0.15,0.2,0.3
13,0.35,0.15,0.2,0.3
14,0.35,0.15,0.2,0.3
15,0.35,0.15,0.2,0.3
16,0.35,0.15,0.2,0.3
17,0.35,0.15,0.2,0.3
18,0.35,0.15,0.2,0.3
19,0.35,0.15,0.2,0.3
20,0.35,0.15,0.2,0.3
21,0.35,0.15,0.2,0.3
22,0.35,0.15,0.2,0.3
23,0.35,0.15,0.2,0.3
24,0.35,0.15,0.2,0.3
25,0.35,0.15,0.2,0.3
26,0.35,0.15,0.2,0.3
27,0.35,0.15,0.2,0.3
28,0.35,0.15,0.2,0.3
29,0.35,0.15,0.2,0.3
30,0.4,0.25,0.1,0.25
31,0.3333333333,0.1904761905,0.1904761905,0.2857142857
32,0.35,0.15,0.2,0.3
33,0.35,0.15,0.2,0.3
34,0.35,0.15,0.2,0.3
35,0.35,0.15,0.2,0.3
36,0.35,0.15,0.2,0.3
37,0.35,0.15,0.2,0.3
38,0.35,0.15,0.2,0.3
39,0.35,0.15,0.2,0.3
40,0.3,0.15,0.2,0.35
41,0.3,0.15,0.2,0.35
42,0.3,0.15,0.2,0.35
43,0.3,0.15,0.2,0.35
44,0.3,0.15,0.2,0.35
45,0.3,0.15,0.2,0.35
46,0.3,0.15,0.2,0.35
47,0.3,0.15,0.2,0.35
48,0.3,0.15,0.2,0.35
49,0.3,0.15,0.2,0.35
50,0.3,0.15,0.2,0.35
51,0.3,0.15,0.2,0.35
52,0.3,0.15,0.2,0.35
53,0.3,0.15,0.2,0.35
54,0.3,0.15,0.2,0.35
55,0.3,0.15,0.2,0.35
56,0.3,0.15,0.2,0.35
57,0.25,0.15,0.1,0.5
58,0.2105263158,0.3157894737,0.1052631579,0.3684210526
59,0.2,0.35,0.1,0.35
60,0.2,0.35,0.1,0.35
61,0.2,0.35,0.1,0.35
62,0.2857142857,0.1904761905,0.1904761905,0.3333333333
63,0.3,0.15,0.2,0.35
64,0.3,0.15,0.2,0.35
65,0.25,0.3,0.1,0.35
66,0.2,0.35,0.1,0.35
67,0.2,0.35,0.1,0.35
68,0.2,0.35,0.1,0.35
69,0.2,0.35,0.1,0.35
70,0.2,0.35,0.1,0.35
71,0.2,0.35,0.1,0.35
72,0.2,0.35,0.1,0.35
73,0.2,0.35,0.1,0.35
74,0.2,0.35,0.1,0.35
75,0.2,0.35,0.1,0.35
76,0.2,0.35,0.1,0.35
77,0.2,0.35,0.1,0.35
78,0.2,0.35,0.1,0.35
79,0.25,0.15,0.0,0.6
80,0.2631578947,0.1052631579,0.0,0.6315789474
81,0.2631578947,0.1052631579,0.0,0.6315789474
82,0.2631578947,0.1052631579,0.0,0.6315789474
83,0.2,0.35,0.0,0.45
84,0.15,0.2,0.25,0.4
85,0.25,0.1,0.05,0.6
86,0.2631578947,0.1052631579,0.0,0.6315789474
87,0.2631578947,0.1052631579,0.0,0.6315789474
88,0.2,0.35,0.0,0.45
89,0.15,0.4,0.0,0.45
90,0.15,0.4,0.0,0.45
91,0.3,0.2,0.15,0.35
92,0.3,0.15,0.2,0.35
93,0.3,0.15,0.2,0.35
94,0.3,0.15,0.2,0.35
95,0.3,0.15,0.2,0.35
96,0.3,0.15,0.2,0.35
97,0.3,0.15,0.2,0.35
98,0.3,0.15,0.2,0.35
99,0.3,0.15,0.2,0.35
100,0.3,0.15,0.2,0.35
101,0.3,0.15,0.2,0.35
102,0.3,0.15,0.2,0.35
103,0.3,0.15,0.2,0.35
104,0.3,0.15,0.2,0.35
105,0.3,0.15,0.2,0.35
106,0.3,0.15,0.2,0.35
107,0.3,0.15,0.2,0.35
108,0.3,0.15,0.2,0.35
109,0.3,0.15,0.2,0.35
110,0.3,0.15,0.2,0.35
111,0.3,0.15,0.2,0.35
112,0.3,0.15,0.2,0.35
113,0.3,0.15,0.2,0.35
114,0.3,0.15,0.2,0.35
115,0.3,0.15,0.2,0.35
116,0.2631578947,0.3157894737,0.1052631579,0.3157894737
117,0.25,0.35,0.1,0.3
118,0.25,0.35,0.1,0.3
119,0.25,0.35,0.1,0.3
120,0.25,0.35,0.1,0.3
121,0.25,0.35,0.1,0.3
122,0.25,0.35,0.1,0.3
123,0.25,0.35,0.1,0.3
124,0.25,0.35,0.1,0.3
125,0.25,0.35,0.1,0.3
126,0.25,0.35,0.1,0.3
127,0.25,0.35,0.1,0.3
128,0.25,0.45,0.2,0.1
129,0.2,0.55,0.05,0.2
130,0.3,0.2,0.2,0.3
131,0.3,0.15,0.2,0.35
132,0.3,0.15,0.2,0.35
133,0.3,0.15,0.2,0.35
