round,w1,w2,w3,w4
0,0.2631578947,0.2105263158,0.2105263158,0.3157894737
1,0.25,0.2,0.2,0.35
2,0.25,0.2,0.2,0.35
3,0.25,0.2,0.2,0.35
4,0.25,0.2,0.2,0.35
5,0.25,0.2,0.2,0.35
6,0.25,0.2,0.2,0.35
7,0.25,0.2,0.2,0.35
8,0.25,0.2,0.2,0.35
9,0.15,0.35,0.05,0.45
10,0.25,0.25,0.15,0.35
11,0.25,0.2,0.2,0.35
12,0.25,0.2,0.2,0.35
13,0.25,0.2,0.2,0.35
14,0.25,0.2,0.2,0.35
15,0.25,0.2,0.2,0.35
16,0.25,0.2,0.2,0.35
17,0.25,0.2,0.2,0.35
18,0.25,0.2,0.2,0.35
19,0.2,0.2,0.35,0.25
20,0.2,0.2,0.35,0.25
21,0.2,0.2,0.35,0.25
22,0.2631578947,0.2105263158,0.2105263158,0.3157894737
23,0.25,0.2,0.2,0.35
24,0.25,0.2,0.2,0.35
25,0.25,0.2,0.2,0.35
26,0.0952380952,0.1428571429,0.0952380952,0.6666666667
27,0.2380952381,0.1904761905,0.1904761905,0.3809523809
28,0.2,0.2,0.35,0.25
29,0.2,0.2,0.35,0.25
30,0.2,0.2,0.35,0.25
31,0.2,0.2,0.35,0.25
32,0.2,0.2,0.35,0.25
33,0.2,0.2,0.35,0.25
34,0.2,0.2,0.35,0.25
35,0.2,0.2,0.35,0.25
36,0.2,0.2,0.35,0.25
37,0.2,0.2,0.35,0.25
38,0.2,0.2,0.35,0.25
39,0.2,0.2,0.35,0.25
40,0.2,0.15,0.4,0.25
41,0.2,0.15,0.4,0.25
42,0.2,0.15,0.4,0.25
43,0.2,0.15,0.4,0.25
44,0.2,0.15,0.4,0.25
45,0.2,0.15,0.4,0.25
46,0.2,0.15,0.4,0.25
47,0.2,0.15,0.4,0.25
48,0.2,0.15,0.4,0.25
49,0.2,0.15,0.4,0.25
50,0.2,0.15,0.4,0.25
51,0.2,0.15,0.4,0.25
52,0.2,0.15,0.4,0.25
53,0.2,0.15,0.4,0.25
54,0.2,0.15,0.4,0.25
55,0.2,0.15,0.4,0.25
56,0.25,0.35,0.2,0.2
57,0.2,0.2,0.35,0.25
58,0.2,0.15,0.4,0.25
59,0.2,0.15,0.4,0.25
60,0.2,0.15,0.4,0.25
61,0.2,0.15,0.4,0.25
62,0.2,0.15,0.4,0.25
63,0.2,0.15,0.4,0.25
64,0.2,0.15,0.4,0.25
65,0.2,0.15,0.4,0.25
66,0.2,0.15,0.4,0.25
67,0.2,0.15,0.4,0.25
68,0.2,0.15,0.4,0.25
69,0.2,0.15,0.4,0.25
70,0.2,0.15,0.4,0.25
71,0.2,0.15,0.4,0.25
72,0.2,0.15,0.4,0.25
73,0.2,0.15,0.4,0.25
74,0.2,0.15,0.4,0.25
75,0.2,0.15,0.4,0.25
76,0.2,0.15,0.4,0.25
77,0.2,0.15,0.4,0.25
78,0.2,0.15,0.4,0.25
79,0.2,0.15,0.4,0.25
80,0.2,0.15,0.4,0.25
81,0.2,0.15,0.4,0.25
82,0.2,0.15,0.4,0.25
83,0.2,0.15,0.4,0.25
84,0.2,0.15,0.4,0.25
85,0.2,0.15,0.4,0.25
86,0.2,0.15,0.4,0.25
87,0.2,0.15,0.4,0.25
88,0.2,0.15,0.4,0.25
89,0.2,0.15,0.4,0.25
90,0.2,0.15,0.4,0.25
91,0.2,0.15,0.4,0.25
92,0.2,0.15,0.4,0.25
93,0.0476190476,0.1904761905,0.4285714286,0.3333333333
94,0.1578947368,0.1578947368,0.4210526317,0.2631578947
95,0.2,0.15,0.4,0.25
96,0.2,0.15,0.4,0.25
97,0.2,0.15,0.4,0.25
98,0.2,0.15,0.4,0.25
99,0.2,0.15,0.4,0.25
100,0.2,0.15,0.4,0.25
101,0.2,0.15,0.4,0.25
102,0.2,0.15,0.4,0.25
103,0.2,0.15,0.4,0.25
104,0.2,0.15,0.4,0.25
105,0.2,0.15,0.4,0.25
106,0.2,0.15,0.4,0.25
107,0.2,0.15,0.4,0.25
108,0.2,0.15,0.4,0.25
109,0.2,0.15,0.4,0.25
110,0.2,0.15,0.4,0.25
111,0.2,0.15,0.4,0.25
112,0.2,0.15,0.4,0.25
113,0.2,0.15,0.4,0.25
114,0.2,0.15,0.4,0.25
115,0.2,0.15,0.4,0.25
116,0.2,0.15,0.4,0.25
117,0.2,0.15,0.4,0.25
