round,w1,w2,w3,w4
0,0.3,0.15,0.2,0.35
1,0.3,0.15,0.2,0.35
2,0.3,0.15,0.2,0.35
3,0.3,0.15,0.2,0.35
4,0.3,0.15,0.2,0.35
5,0.3,0.15,0.2,0.35
6,0.3,0.15,0.2,0.35
7,0.3,0.15,0.2,0.35
8,0.3,0.15,0.2,0.35
9,0.3,0.15,0.2,0.35
10,0.3,0.15,0.2,0.35
11,0.3,0.15,0.2,0.35
12,0.3,0.15,0.2,0.35
13,0.3,0.15,0.2,0.35
14,0.3,0.15,0.2,0.35
15,0.3,0.15,0.2,0.35
16,0.3,0.15,0.2,0.35
17,0.3,0.15,0.2,0.35
18,0.3,0.15,0.2,0.35
19,0.3,0.15,0.2,0.35
20,0.3,0.15,0.2,0.35
21,0.3,0.15,0.2,0.35
22,0.3,0.15,0.2,0.35
23,0.3,0.15,0.2,0.35
24,0.3,0.15,0.2,0.35
25,0.2857142857,0.1428571429,0.1904761905,0.3809523809
26,0.2857142857,0.1428571429,0.1904761905,0.3809523809
27,0.2857142857,0.1428571429,0.1904761905,0.3809523809
28,0.2857142857,0.1428571429,0.1904761905,0.3809523809
29,0.2857142857,0.1428571429,0.1904761905,0.3809523809
30,0.2857142857,0.1428571429,0.1904761905,0.3809523809
31,0.2857142857,0.1428571429,0.1904761905,0.3809523809
32,0.2857142857,0.1428571429,0.1904761905,0.3809523809
33,0.2857142857,0.1428571429,0.1904761905,0.3809523809
34,0.2857142857,0.1428571429,0.1904761905,0.3809523809
35,0.2857142857,0.1428571429,0.1904761905,0.3809523809
36,0.2857142857,0.1428571429,0.1904761905,0.3809523809
37,0.2857142857,0.1428571429,0.1904761905,0.3809523809
38,0.2857142857,0.1428571429,0.1904761905,0.3809523809
39,0.3,0.1,0.2,0.4
40,0.3333333333,0.0952380952,0.1904761905,0.380952381
41,0.3333333333,0.0952380952,0.1904761905,0.380952381
42,0.3333333333,0.0952380952,0.1904761905,0.380952381
43,0.3333333333,0.0952380952,0.1904761905,0.380952381
44,0.3333333333,0.0952380952,0.1904761905,0.380952381
45,0.3157894737,0.1052631579,0.2105263158,0.3684210526
46,0.3,0.1,0.25,0.35
47,0.3,0.1,0.25,0.35
48,0.3,0.1,0.25,0.35
49,0.3,0.1,0.25,0.35
50,0.3,0.1,0.25,0.35
51,0.3,0.1,0.25,0.35
52,0.3,0.1,0.25,0.35
53,0.3,0.1,0.25,0.35
54,0.3,0.1,0.25,0.35
55,0.3,0.1,0.25,0.35
56,0.3,0.1,0.25,0.35
57,0.3,0.1,0.25,0.35
58,0.3,0.1,0.25,0.35
59,0.3,0.1,0.25,0.35
60,0.3,0.1,0.25,0.35
61,0.3,0.1,0.25,0.35
62,0.25,0.1,0.3,0.35
63,0.2,0.1,0.35,0.35
64,0.2,0.1,0.35,0.35
65,0.2,0.1,0.35,0.35
66,0.2,0.1,0.35,0.35
67,0.2,0.1,0.35,0.35
68,0.2,0.1,0.35,0.35
69,0.2,0.1,0.35,0.35
70,0.2,0.1,0.35,0.35
71,0.2,0.1,0.35,0.35
72,0.2,0.1,0.35,0.35
73,0.2,0.1,0.35,0.35
74,0.2,0.1,0.35,0.35
75,0.2,0.1,0.35,0.35
76,0.2,0.1,0.35,0.35
77,0.2,0.1,0.35,0.35
78,0.2,0.1,0.35,0.35
79,0.2,0.1,0.35,0.35
80,0.2,0.1,0.35,0.35
81,0.2,0.1,0.35,0.35
82,0.2105263158,0.0526315789,0.3684210527,0.3684210526
83,0.2,0.05,0.35,0.4
84,0.2,0.05,0.35,0.4
85,0.2,0.05,0.35,0.4
86,0.2,0.05,0.35,0.4
87,0.2,0.05,0.35,0.4
88,0.2,0.05,0.35,0.4
89,0.2,0.05,0.35,0.4
90,0.2,0.05,0.35,0.4
91,0.2,0.05,0.35,0.4
92,0.2,0.05,0.35,0.4
93,0.2,0.05,0.35,0.4
94,0.2,0.05,0.35,0.4
95,0.2,0.05,0.35,0.4
96,0.2,0.05,0.35,0.4
97,0.2,0.05,0.35,0.4
98,0.2,0.05,0.35,0.4
99,0.2,0.05,0.35,0.4
100,0.2,0.05,0.35,0.4
101,0.2,0.05,0.35,0.4
102,0.2,0.05,0.35,0.4
103,0.2,0.05,0.35,0.4
104,0.2,0.05,0.35,0.4
105,0.2,0.05,0.35,0.4
106,0.2,0.05,0.35,0.4
107,0.2,0.05,0.35,0.4
108,0.2,0.05,0.35,0.4
109,0.2,0.05,0.35,0.4
110,0.2,0.05,0.35,0.4
111,0.2,0.05,0.35,0.4
112,0.1904761905,0.0952380952,0.3333333333,0.380952381
113,0.2105263158,0.1052631579,0.3157894737,0.3684210526
114,0.2,0.15,0.3,0.35
115,0.2,0.15,0.3,0.35
116,0.2,0.15,0.3,0.35
117,0.2,0.15,0.3,0.35
118,0.2,0.15,0.3,0.35
119,0.2,0.15,0.3,0.35
120,0.2,0.15,0.3,0.35
121,0.2,0.15,0.3,0.35
122,0.2,0.15,0.3,0.35
123,0.2,0.15,0.3,0.35
124,0.2,0.15,0.3,0.35
125,0.2,0.15,0.3,0.35
126,0.15,0.2,0.3,0.35
127,0.15,0.2,0.3,0.35
128,0.15,0.2,0.3,0.35
129,0.15,0.2,0.3,0.35
130,0.15,0.2,0.3,0.35
131,0.15,0.2,0.3,0.35
132,0.15,0.2,0.3,0.35
133,0.15,0.2,0.3,0.35
134,0.15,0.2,0.3,0.35
135,0.15,0.2,0.3,0.35
136,0.15,0.2,0.3,0.35
137,0.15,0.2,0.3,0.35
138,0.15,0.2,0.3,0.35
139,0.15,0.2,0.3,0.35
140,0.15,0.2,0.3,0.35
141,0.1,0.2,0.35,0.35
142,0.1,0.2,0.35,0.35
143,0.1,0.2,0.35,0.35
144,0.1,0.2,0.35,0.35
145,0.1,0.2,0.35,0.35
146,0.1,0.2,0.35,0.35
147,0.1,0.2,0.35,0.35
148,0.1,0.2,0.35,0.35
149,0.05,0.2,0.4,0.35
150,0.0476190476,0.1904761905,0.4285714286,0.3333333333
151,0.05,0.2,0.45,0.3
152,0.05,0.2,0.45,0.3
153,0.05,0.2,0.45,0.3
154,0.05,0.2,0.45,0.3
155,0.05,0.2,0.45,0.3
156,0.05,0.2,0.45,0.3
157,0.05,0.2,0.45,0.3
158,0.05,0.2,0.45,0.3
159,0.05,0.2,0.45,0.3
160,0.05,0.2,0.45,0.3
161,0.05,0.2,0.45,0.3
162,0.05,0.2,0.45,0.3
163,0.05,0.2,0.45,0.3
164,0.05,0.2,0.45,0.3
165,0.05,0.2,0.45,0.3
166,0.05,0.2,0.45,0.3
167,0.05,0.2,0.45,0.3
168,0.05,0.2,0.45,0.3
169,0.1,0.2,0.4,0.3
170,0.1,0.2,0.4,0.3
171,0.1,0.2,0.4,0.3
172,0.1,0.2,0.4,0.3
173,0.1,0.2,0.4,0.3
174,0.1578947368,0.1578947368,0.3684210527,0.3157894737
175,0.2,0.15,0.35,0.3
176,0.2380952381,0.1428571429,0.3333333333,0.2857142857
177,0.25,0.15,0.3,0.3
178,0.25,0.15,0.3,0.3
179,0.2631578947,0.1578947368,0.2631578947,0.3157894738
180,0.2631578947,0.1578947368,0.2631578947,0.3157894738
181,0.2631578947,0.1578947368,0.2631578947,0.3157894738
182,0.2631578947,0.1578947368,0.2631578947,0.3157894738
183,0.2631578947,0.1578947368,0.2631578947,0.3157894738
184,0.2631578947,0.1052631579,0.2631578947,0.3684210527
185,0.25,0.1,0.25,0.4
186,0.2631578947,0.0526315789,0.2631578947,0.4210526317
187,0.2631578947,0.0526315789,0.2631578947,0.4210526317
