round,w1,w2,w3,w4
0,0.05,0.3,0.15,0.5
1,0.15,0.1,0.45,0.3
2,0.05,0.15,0.35,0.45
3,0.15,0.1,0.45,0.3
4,0.15,0.1,0.45,0.3
5,0.05,0.35,0.2,0.4
6,0.05,0.35,0.2,0.4
7,0.05,0.35,0.2,0.4
8,0.15,0.25,0.2,0.4
9,0.05,0.35,0.15,0.45
10,0.05,0.25,0.3,0.4
11,0.05,0.25,0.3,0.4
12,0.05,0.2,0.3,0.45
13,0.05,0.2,0.3,0.45
14,0.2,0.0,0.45,0.35
15,0.15,0.15,0.4,0.3
16,0.05,0.2,0.3,0.45
17,0.05,0.2,0.3,0.45
18,0.05,0.2,0.3,0.45
19,0.05,0.2,0.3,0.45
20,0.05,0.2,0.3,0.45
21,0.05,0.2,0.3,0.45
22,0.05,0.2,0.3,0.45
23,0.1,0.2,0.3,0.4
24,0.1,0.05,0.3,0.55
25,0.1,0.05,0.3,0.55
26,0.1,0.05,0.3,0.55
27,0.1,0.05,0.3,0.55
28,0.1,0.05,0.3,0.55
29,0.15,0.15,0.25,0.45
30,0.15,0.15,0.25,0.45
31,0.15,0.15,0.25,0.45
32,0.15,0.15,0.25,0.45
33,0.15,0.15,0.25,0.45
34,0.05,0.3,0.2,0.45
35,0.15,0.15,0.25,0.45
36,0.15,0.15,0.25,0.45
37,0.15,0.15,0.25,0.45
38,0.15,0.15,0.25,0.45
39,0.35,0.2,0.3,0.15
40,0.15,0.15,0.25,0.45
41,0.15,0.15,0.3,0.4
42,0.2,0.2,0.25,0.35
43,0.2,0.2,0.25,0.35
44,0.2,0.2,0.25,0.35
45,0.15,0.15,0.3,0.4
46,0.2,0.2,0.25,0.35
47,0.2,0.2,0.25,0.35
48,0.2,0.2,0.25,0.35
49,0.1,0.05,0.3,0.55
50,0.05,0.15,0.3,0.5
51,0.05,0.15,0.3,0.5
52,0.05,0.15,0.4,0.4
53,0.0,0.1,0.5,0.4
54,0.05,0.15,0.3,0.5
55,0.05,0.15,0.4,0.4
56,0.05,0.15,0.3,0.5
57,0.05,0.15,0.3,0.5
58,0.05,0.15,0.3,0.5
59,0.05,0.15,0.3,0.5
60,0.05,0.15,0.4,0.4
61,0.05,0.15,0.3,0.5
62,0.05,0.15,0.4,0.4
63,0.05,0.15,0.3,0.5
64,0.05,0.15,0.3,0.5
65,0.05,0.15,0.4,0.4
66,0.05,0.15,0.4,0.4
67,0.05,0.15,0.3,0.5
68,0.05,0.15,0.3,0.5
69,0.2,0.1,0.5,0.2
70,0.05,0.15,0.4,0.4
71,0.05,0.3,0.15,0.5
72,0.05,0.15,0.3,0.5
73,0.1,0.05,0.3,0.55
74,0.1,0.05,0.3,0.55
75,0.1,0.05,0.3,0.55
76,0.0,0.4,0.55,0.05
77,0.1,0.05,0.3,0.55
78,0.1,0.05,0.3,0.55
79,0.0,0.15,0.4,0.45
80,0.1,0.05,0.3,0.55
81,0.1,0.05,0.3,0.55
82,0.1,0.05,0.3,0.55
