round,w1,w2,w3,w4
0,0.05,0.3,0.3,0.35
1,0.05,0.3,0.25,0.4
2,0.05,0.2,0.35,0.4
3,0.2,0.35,0.15,0.3
4,0.05,0.35,0.2,0.4
5,0.2,0.35,0.15,0.3
6,0.05,0.3,0.25,0.4
7,0.0,0.35,0.3,0.35
8,0.0,0.35,0.3,0.35
9,0.0,0.35,0.3,0.35
10,0.05,0.45,0.2,0.3
11,0.1,0.35,0.25,0.3
12,0.05,0.35,0.2,0.4
13,0.05,0.35,0.2,0.4
14,0.05,0.3,0.25,0.4
15,0.05,0.3,0.25,0.4
16,0.0,0.35,0.3,0.35
17,0.05,0.35,0.2,0.4
18,0.15,0.25,0.15,0.45
19,0.05,0.35,0.2,0.4
20,0.05,0.25,0.25,0.45
21,0.0,0.35,0.3,0.35
22,0.05,0.25,0.3,0.4
23,0.1,0.3,0.25,0.35
24,0.1,0.3,0.3,0.3
25,0.35,0.25,0.1,0.3
26,0.35,0.25,0.1,0.3
27,0.2,0.3,0.45,0.05
28,0.15,0.4,0.25,0.2
29,0.15,0.4,0.25,0.2
30,0.1,0.25,0.15,0.5
31,0.15,0.4,0.4,0.05
32,0.15,0.4,0.4,0.05
33,0.15,0.25,0.3,0.3
34,0.15,0.2,0.3,0.35
35,0.25,0.15,0.45,0.15
36,0.15,0.2,0.3,0.35
37,0.15,0.25,0.2,0.4
38,0.15,0.2,0.25,0.4
39,0.2,0.0,0.25,0.55
40,0.15,0.2,0.25,0.4
41,0.15,0.2,0.25,0.4
42,0.2,0.0,0.25,0.55
43,0.2,0.0,0.25,0.55
44,0.15,0.2,0.3,0.35
45,0.15,0.3,0.15,0.4
46,0.0,0.5,0.2,0.3
47,0.05,0.25,0.35,0.35
48,0.0,0.5,0.2,0.3
49,0.05,0.25,0.3,0.4
50,0.05,0.25,0.3,0.4
51,0.05,0.25,0.3,0.4
52,0.05,0.25,0.3,0.4
53,0.25,0.2,0.3,0.25
54,0.05,0.25,0.3,0.4
55,0.05,0.25,0.3,0.4
56,0.05,0.3,0.25,0.4
57,0.05,0.25,0.3,0.4
58,0.15,0.4,0.05,0.4
59,0.05,0.25,0.3,0.4
60,0.05,0.25,0.3,0.4
61,0.05,0.3,0.25,0.4
62,0.1,0.35,0.25,0.3
63,0.05,0.3,0.3,0.35
64,0.05,0.3,0.3,0.35
65,0.05,0.3,0.3,0.35
66,0.05,0.3,0.3,0.35
67,0.05,0.25,0.3,0.4
68,0.05,0.25,0.3,0.4
69,0.05,0.3,0.25,0.4
70,0.05,0.25,0.35,0.35
71,0.05,0.25,0.3,0.4
72,0.05,0.25,0.3,0.4
73,0.15,0.25,0.25,0.35
74,0.15,0.25,0.25,0.35
75,0.15,0.1,0.4,0.35
76,0.1,0.25,0.3,0.35
77,0.1,0.25,0.3,0.35
78,0.15,0.2,0.3,0.35
79,0.15,0.2,0.3,0.35
80,0.15,0.2,0.25,0.4
81,0.15,0.2,0.25,0.4
82,0.25,0.15,0.45,0.15
83,0.15,0.2,0.3,0.35
84,0.15,0.2,0.3,0.35
85,0.15,0.2,0.3,0.35
