round,w1,w2,w3,w4
0,0.25,0.25,0.25,0.25
1,0.25,0.25,0.25,0.25
2,0.25,0.25,0.25,0.25
3,0.25,0.25,0.25,0.25
4,0.25,0.25,0.25,0.25
5,0.25,0.25,0.25,0.25
6,0.25,0.25,0.25,0.25
7,0.25,0.25,0.25,0.25
8,0.25,0.25,0.25,0.25
9,0.25,0.25,0.25,0.25
10,0.25,0.25,0.25,0.25
11,0.25,0.25,0.25,0.25
12,0.25,0.25,0.25,0.25
13,0.25,0.25,0.25,0.25
14,0.25,0.25,0.25,0.25
15,0.25,0.25,0.25,0.25
16,0.25,0.25,0.25,0.25
17,0.25,0.25,0.25,0.25
18,0.25,0.25,0.25,0.25
19,0.25,0.25,0.25,0.25
20,0.25,0.25,0.25,0.25
21,0.25,0.25,0.25,0.25
22,0.25,0.25,0.25,0.25
23,0.25,0.25,0.25,0.25
24,0.25,0.25,0.25,0.25
25,0.25,0.25,0.25,0.25
26,0.25,0.25,0.25,0.25
27,0.25,0.25,0.25,0.25
28,0.25,0.25,0.25,0.25
29,0.25,0.25,0.25,0.25
30,0.25,0.25,0.25,0.25
31,0.25,0.25,0.25,0.25
32,0.25,0.25,0.25,0.25
33,0.25,0.25,0.25,0.25
34,0.25,0.25,0.25,0.25
35,0.25,0.25,0.25,0.25
36,0.25,0.25,0.25,0.25
37,0.25,0.25,0.25,0.25
38,0.45,0.25,0.2,0.1
39,0.45,0.25,0.2,0.1
40,0.45,0.25,0.2,0.1
41,0.45,0.25,0.2,0.1
42,0.45,0.25,0.2,0.1
43,0.45,0.25,0.2,0.1
44,0.45,0.25,0.2,0.1
45,0.45,0.25,0.2,0.1
46,0.45,0.25,0.2,0.1
47,0.45,0.25,0.2,0.1
48,0.45,0.25,0.2,0.1
49,0.25,0.25,0.25,0.25
50,0.25,0.25,0.25,0.25
51,0.25,0.25,0.25,0.25
52,0.25,0.25,0.25,0.25
53,0.25,0.25,0.25,0.25
54,0.25,0.25,0.25,0.25
55,0.25,0.25,0.25,0.25
56,0.25,0.25,0.25,0.25
57,0.45,0.25,0.2,0.1
58,0.45,0.25,0.2,0.1
59,0.45,0.25,0.2,0.1
60,0.45,0.25,0.2,0.1
61,0.45,0.25,0.2,0.1
62,0.45,0.25,0.2,0.1
63,0.45,0.25,0.2,0.1
64,0.45,0.25,0.2,0.1
65,0.25,0.25,0.25,0.25
66,0.25,0.25,0.25,0.25
67,0.25,0.25,0.25,0.25
68,0.25,0.25,0.25,0.25
69,0.25,0.25,0.25,0.25
70,0.25,0.25,0.25,0.25
71,0.25,0.25,0.25,0.25
72,0.25,0.25,0.25,0.25
73,0.25,0.25,0.25,0.25
74,0.25,0.25,0.25,0.25
75,0.45,0.25,0.2,0.1
76,0.45,0.25,0.2,0.1
77,0.45,0.25,0.2,0.1
78,0.45,0.25,0.2,0.1
79,0.45,0.25,0.2,0.1
80,0.45,0.25,0.2,0.1
81,0.25,0.25,0.25,0.25
82,0.25,0.25,0.25,0.25
83,0.25,0.25,0.25,0.25
84,0.25,0.25,0.25,0.25
85,0.25,0.25,0.25,0.25
86,0.25,0.25,0.25,0.25
87,0.25,0.25,0.25,0.25
88,0.25,0.25,0.25,0.25
89,0.25,0.25,0.25,0.25
90,0.25,0.25,0.25,0.25
91,0.25,0.25,0.25,0.25
92,0.25,0.25,0.25,0.25
93,0.25,0.25,0.25,0.25
94,0.25,0.25,0.25,0.25
95,0.3,0.35,0.25,0.1
96,0.3,0.35,0.25,0.1
97,0.3,0.35,0.25,0.1
98,0.3,0.35,0.25,0.1
99,0.3,0.35,0.25,0.1
100,0.3,0.35,0.25,0.1
101,0.3,0.4,0.3,0.0
102,0.3,0.4,0.3,0.0
103,0.3,0.4,0.3,0.0
104,0.3,0.4,0.3,0.0
105,0.3,0.4,0.3,0.0
106,0.3,0.4,0.3,0.0
107,0.3,0.4,0.3,0.0
108,0.3,0.4,0.3,0.0
109,0.3,0.4,0.3,0.0
110,0.3,0.4,0.3,0.0
111,0.3,0.4,0.3,0.0
112,0.3,0.4,0.3,0.0
113,0.3,0.4,0.3,0.0
114,0.3,0.35,0.25,0.1
115,0.3,0.35,0.25,0.1
116,0.3,0.35,0.25,0.1
117,0.3,0.35,0.25,0.1
118,0.3,0.35,0.25,0.1
119,0.3,0.35,0.25,0.1
120,0.3,0.35,0.25,0.1
121,0.45,0.25,0.2,0.1
122,0.45,0.25,0.2,0.1
123,0.45,0.25,0.2,0.1
124,0.45,0.25,0.2,0.1
125,0.45,0.25,0.2,0.1
126,0.45,0.25,0.2,0.1
127,0.25,0.25,0.25,0.25
128,0.25,0.25,0.25,0.25
129,0.25,0.25,0.25,0.25
130,0.25,0.25,0.25,0.25
131,0.25,0.25,0.25,0.25
132,0.25,0.25,0.25,0.25
133,0.25,0.25,0.25,0.25
134,0.25,0.25,0.25,0.25
135,0.25,0.25,0.25,0.25
136,0.25,0.35,0.15,0.25
137,0.25,0.35,0.15,0.25
138,0.25,0.35,0.15,0.25
139,0.25,0.35,0.15,0.25
140,0.25,0.35,0.15,0.25
141,0.25,0.35,0.15,0.25
142,0.25,0.25,0.25,0.25
143,0.25,0.25,0.25,0.25
144,0.25,0.25,0.25,0.25
145,0.25,0.25,0.25,0.25
146,0.25,0.25,0.25,0.25
147,0.25,0.25,0.25,0.25
148,0.45,0.25,0.2,0.1
149,0.45,0.25,0.2,0.1
150,0.45,0.25,0.2,0.1
151,0.45,0.25,0.2,0.1
152,0.45,0.25,0.2,0.1
153,0.45,0.25,0.2,0.1
154,0.25,0.25,0.25,0.25
155,0.25,0.25,0.25,0.25
156,0.25,0.25,0.25,0.25
