round,w1,w2,w3,w4
0,0.0,0.2,0.55,0.25
1,0.0,0.2,0.55,0.25
2,0.0,0.2,0.55,0.25
3,0.05,0.35,0.3,0.3
4,0.0,0.3,0.3,0.4
5,0.05,0.35,0.3,0.3
6,0.1,0.3,0.4,0.2
7,0.05,0.35,0.25,0.35
8,0.05,0.35,0.35,0.25
9,0.05,0.35,0.2,0.4
10,0.05,0.3,0.25,0.4
11,0.15,0.4,0.25,0.2
12,0.05,0.3,0.25,0.4
13,0.05,0.3,0.25,0.4
14,0.05,0.6,0.2,0.15
15,0.05,0.6,0.2,0.15
16,0.05,0.6,0.2,0.15
17,0.05,0.6,0.2,0.15
18,0.05,0.6,0.2,0.15
19,0.1,0.3,0.2,0.4
20,0.05,0.25,0.25,0.45
21,0.05,0.25,0.25,0.45
22,0.05,0.25,0.25,0.45
23,0.05,0.25,0.25,0.45
24,0.15,0.25,0.25,0.35
25,0.1,0.2,0.3,0.4
26,0.1,0.2,0.3,0.4
27,0.45,0.25,0.15,0.15
28,0.45,0.25,0.15,0.15
29,0.1,0.25,0.3,0.35
30,0.1,0.25,0.3,0.35
31,0.1,0.25,0.3,0.35
32,0.1,0.25,0.3,0.35
33,0.1,0.25,0.3,0.35
34,0.1,0.25,0.3,0.35
35,0.1,0.25,0.3,0.35
36,0.1,0.25,0.3,0.35
37,0.1,0.25,0.3,0.35
38,0.1,0.25,0.3,0.35
39,0.15,0.25,0.3,0.3
40,0.15,0.25,0.3,0.3
41,0.15,0.25,0.3,0.3
42,0.15,0.25,0.3,0.3
43,0.15,0.25,0.3,0.3
44,0.15,0.25,0.3,0.3
45,0.15,0.25,0.3,0.3
46,0.15,0.25,0.3,0.3
47,0.15,0.25,0.3,0.3
48,0.15,0.25,0.3,0.3
49,0.05,0.3,0.3,0.35
50,0.05,0.25,0.25,0.45
51,0.05,0.25,0.25,0.45
52,0.05,0.25,0.25,0.45
53,0.05,0.25,0.25,0.45
54,0.05,0.25,0.25,0.45
55,0.05,0.25,0.25,0.45
56,0.05,0.25,0.3,0.4
57,0.05,0.25,0.25,0.45
58,0.05,0.25,0.3,0.4
59,0.05,0.25,0.3,0.4
60,0.05,0.25,0.3,0.4
61,0.05,0.25,0.3,0.4
62,0.05,0.25,0.3,0.4
63,0.05,0.25,0.3,0.4
64,0.05,0.25,0.3,0.4
65,0.05,0.25,0.3,0.4
66,0.05,0.25,0.3,0.4
67,0.05,0.25,0.3,0.4
68,0.05,0.25,0.3,0.4
69,0.05,0.25,0.3,0.4
70,0.05,0.25,0.3,0.4
71,0.05,0.25,0.35,0.35
72,0.05,0.25,0.35,0.35
73,0.05,0.25,0.3,0.4
74,0.2,0.25,0.25,0.3
75,0.2,0.25,0.25,0.3
76,0.2,0.25,0.25,0.3
77,0.1,0.25,0.3,0.35
78,0.1,0.25,0.3,0.35
79,0.15,0.4,0.35,0.1
80,0.1,0.25,0.3,0.35
81,0.1,0.25,0.3,0.35
82,0.1,0.25,0.3,0.35
83,0.25,0.35,0.2,0.2
84,0.25,0.35,0.2,0.2
85,0.25,0.35,0.2,0.2
86,0.25,0.35,0.2,0.2
87,0.25,0.35,0.2,0.2
88,0.25,0.35,0.2,0.2
89,0.25,0.35,0.2,0.2
90,0.25,0.35,0.2,0.2
91,0.25,0.35,0.2,0.2
92,0.25,0.35,0.2,0.2
93,0.25,0.35,0.1,0.3
