round,w1,w2,w3,w4
0,0.15,0.4,0.15,0.3
1,0.15,0.4,0.15,0.3
2,0.15,0.35,0.2,0.3
3,0.15,0.35,0.2,0.3
4,0.15,0.35,0.2,0.3
5,0.15,0.35,0.2,0.3
6,0.15,0.35,0.2,0.3
7,0.1428571429,0.3333333333,0.2380952381,0.2857142857
8,0.15,0.35,0.2,0.3
9,0.1052631579,0.4210526316,0.2105263158,0.2631578947
10,0.1578947368,0.3684210527,0.2105263158,0.2631578947
11,0.1578947368,0.3684210527,0.2105263158,0.2631578947
12,0.15,0.35,0.2,0.3
13,0.15,0.35,0.2,0.3
14,0.2,0.35,0.15,0.3
15,0.1904761905,0.3333333333,0.1904761905,0.2857142857
16,0.1578947368,0.3684210527,0.1578947368,0.3157894737
17,0.2,0.35,0.2,0.25
18,0.1578947368,0.3684210527,0.1578947368,0.3157894737
19,0.15,0.35,0.2,0.3
20,0.2,0.35,0.15,0.3
21,0.1578947368,0.3684210527,0.2105263158,0.2631578947
22,0.2,0.35,0.2,0.25
23,0.15,0.4,0.15,0.3
24,0.1578947368,0.3684210527,0.2105263158,0.2631578947
25,0.15,0.4,0.2,0.25
26,0.15,0.4,0.15,0.3
27,0.15,0.35,0.2,0.3
28,0.2,0.35,0.15,0.3
29,0.1578947368,0.3684210527,0.1578947368,0.3157894737
30,0.1578947368,0.3684210527,0.2105263158,0.2631578947
31,0.15,0.4,0.15,0.3
32,0.2105263158,0.3684210527,0.1578947368,0.2631578947
33,0.1578947368,0.4210526317,0.1578947368,0.2631578947
34,0.1578947368,0.4210526317,0.1578947368,0.2631578947
35,0.15,0.4,0.15,0.3
36,0.15,0.4,0.15,0.3
37,0.15,0.35,0.2,0.3
38,0.15,0.35,0.2,0.3
39,0.15,0.35,0.2,0.3
40,0.15,0.35,0.2,0.3
41,0.15,0.35,0.2,0.3
42,0.15,0.35,0.2,0.3
43,0.2,0.35,0.15,0.3
44,0.1578947368,0.3684210527,0.1578947368,0.3157894737
45,0.1578947368,0.3684210527,0.2105263158,0.2631578947
46,0.1578947368,0.3684210527,0.1578947368,0.3157894737
47,0.1904761905,0.3333333333,0.1904761905,0.2857142857
48,0.15,0.35,0.2,0.3
49,0.1578947368,0.3684210527,0.2105263158,0.2631578947
50,0.1428571429,0.3333333333,0.2380952381,0.2857142857
51,0.2,0.35,0.2,0.25
52,0.15,0.4,0.15,0.3
53,0.2,0.35,0.2,0.25
54,0.1578947368,0.3684210527,0.2105263158,0.2631578947
55,0.2,0.35,0.15,0.3
56,0.2,0.35,0.15,0.3
57,0.1578947368,0.3684210527,0.1578947368,0.3157894737
58,0.1578947368,0.3684210527,0.2105263158,0.2631578947
59,0.15,0.35,0.25,0.25
60,0.15,0.4,0.2,0.25
61,0.1578947368,0.3684210527,0.1578947368,0.3157894737
62,0.15,0.4,0.15,0.3
63,0.2,0.35,0.15,0.3
64,0.15,0.4,0.15,0.3
65,0.1578947368,0.4210526317,0.1578947368,0.2631578947
66,0.2,0.35,0.15,0.3
67,0.15,0.4,0.15,0.3
68,0.15,0.4,0.15,0.3
69,0.15,0.4,0.15,0.3
70,0.15,0.35,0.2,0.3
71,0.2,0.35,0.2,0.25
72,0.15,0.35,0.2,0.3
73,0.15,0.35,0.2,0.3
74,0.1052631579,0.3684210526,0.1052631579,0.4210526316
75,0.15,0.35,0.2,0.3
76,0.15,0.35,0.2,0.3
77,0.1904761905,0.3333333333,0.1904761905,0.2857142857
78,0.1578947368,0.3684210527,0.2105263158,0.2631578947
79,0.15,0.35,0.2,0.3
80,0.15,0.35,0.2,0.3
81,0.1578947368,0.3684210527,0.2105263158,0.2631578947
82,0.1578947368,0.3684210527,0.1578947368,0.3157894737
83,0.15,0.35,0.2,0.3
84,0.1578947368,0.3684210527,0.1578947368,0.3157894737
85,0.2,0.35,0.15,0.3
86,0.2,0.35,0.2,0.25
87,0.15,0.4,0.15,0.3
88,0.1578947368,0.3684210527,0.2105263158,0.2631578947
89,0.1578947368,0.3684210527,0.2105263158,0.2631578947
90,0.15,0.4,0.2,0.25
91,0.1578947368,0.3684210527,0.1578947368,0.3157894737
92,0.2,0.35,0.2,0.25
93,0.2,0.35,0.15,0.3
94,0.2,0.35,0.15,0.3
95,0.1578947368,0.3684210527,0.1578947368,0.3157894737
96,0.1578947368,0.3684210527,0.2105263158,0.2631578947
97,0.2,0.35,0.15,0.3
98,0.2,0.35,0.15,0.3
99,0.1428571429,0.3333333333,0.1904761905,0.3333333333
100,0.15,0.4,0.15,0.3
101,0.15,0.4,0.15,0.3
102,0.15,0.4,0.15,0.3
